x,y,z,type
-106.864250,40.638170,0.000000,PD-L1lo_tumor
152.438099,-126.983540,0.000000,PD-L1lo_tumor
148.404270,-37.601973,0.000000,PD-L1lo_tumor
-20.316741,-368.691291,0.000000,PD-L1lo_tumor
-20.154349,211.285297,0.000000,PD-L1lo_tumor
-280.832561,-367.729652,0.000000,fixed_vessel_source
54.381071,282.967714,0.000000,fixed_vessel_source_compressed
-69.639097,152.400939,0.000000,PD-L1lo_tumor
7.900620,296.177513,0.000000,PD-L1lo_tumor
-31.799478,138.678284,0.000000,PD-L1lo_tumor
108.096012,190.338839,0.000000,PD-L1lo_tumor
250.283394,-212.126645,0.000000,PD-L1lo_tumor
139.510468,-327.223643,0.000000,PD-L1lo_tumor
305.083000,231.648673,0.000000,PD-L1lo_tumor
306.513641,-62.793056,0.000000,PD-L1lo_tumor
-345.678011,3.963480,0.000000,PD-L1lo_tumor
134.852310,194.525003,0.000000,PD-L1lo_tumor
-376.717738,-80.556944,0.000000,PD-L1lo_tumor
212.850794,-254.128184,0.000000,PD-L1lo_tumor
161.454761,-240.693377,0.000000,PD-L1lo_tumor
147.668141,-112.729044,0.000000,PD-L1lo_tumor
128.454838,-165.337450,0.000000,PD-L1lo_tumor
-144.356846,-116.926080,0.000000,PD-L1lo_tumor
-161.304521,173.060247,0.000000,PD-L1lo_tumor
-48.925870,-41.780865,0.000000,PD-L1lo_tumor
-241.566585,121.520416,0.000000,PD-L1lo_tumor
317.359309,-96.660125,0.000000,PD-L1lo_tumor
43.841949,241.650463,0.000000,PD-L1lo_tumor
-59.889960,-273.954407,0.000000,PD-L1lo_tumor
113.900535,-263.611361,0.000000,PD-L1lo_tumor
-223.530227,2.200631,0.000000,PD-L1lo_tumor
-376.071986,-65.543233,0.000000,PD-L1lo_tumor
137.470868,300.011281,0.000000,PD-L1lo_tumor
-131.592774,-189.578128,0.000000,PD-L1lo_tumor
278.331602,-30.780016,0.000000,PD-L1lo_tumor
-285.570241,-31.483177,0.000000,PD-L1lo_tumor
-296.076039,158.823585,0.000000,PD-L1lo_tumor
-124.184737,262.294612,0.000000,PD-L1lo_tumor
-374.515720,-457.374862,0.000000,fixed_vessel_source
275.987014,-44.924101,0.000000,PD-L1lo_tumor
123.515322,184.936129,0.000000,PD-L1lo_tumor
-4.790310,-151.725171,0.000000,PD-L1lo_tumor
185.221516,-318.762368,0.000000,PD-L1lo_tumor
189.292588,-270.965866,0.000000,PD-L1lo_tumor
-125.124445,207.370594,0.000000,PD-L1lo_tumor
65.096360,-186.724283,0.000000,PD-L1lo_tumor
-153.213553,-351.433303,0.000000,PD-L1lo_tumor
102.804117,237.159467,0.000000,PD-L1lo_tumor
-350.664520,-65.118456,0.000000,PD-L1lo_tumor
115.351566,274.786790,0.000000,PD-L1lo_tumor
185.523864,-101.456024,0.000000,PD-L1lo_tumor
-102.253544,222.560131,0.000000,PD-L1lo_tumor
-66.207793,309.040746,0.000000,PD-L1lo_tumor
251.975488,22.557699,0.000000,PD-L1lo_tumor
206.069143,-54.384678,0.000000,PD-L1lo_tumor
-147.630776,0.883923,0.000000,PD-L1lo_tumor
233.269370,-136.278006,0.000000,PD-L1lo_tumor
-31.891859,-145.163283,0.000000,PD-L1lo_tumor
-237.893778,31.972186,0.000000,PD-L1lo_tumor
213.161396,239.919106,0.000000,PD-L1lo_tumor
-108.452032,263.715712,0.000000,PD-L1lo_tumor
